transact_id,query,click_on_pictures
0,капсульный гардероб,0
1,декор бутылок своими руками,0
2,косы,0
3,рисунки 9 мая,0
4,рисунки ко дню победы,1
5,интерьер детской комнаты для двоих,0
6,поделки для дачи своими руками,0
7,парни в трусах,1
8,моника белучи,0
9,карта дальнего востока,0
10,занавески,0
11,линдт ирина,0
12,интерьер зала,0
13,граффити шрифты,0
14,короткие женские стрижки,1
15,ванные комнаты,0
16,кабаева,0
17,бонсай из бисера,0
18,скворечник своими руками,1
19,клещи,0
20,ромашки,1
21,камала харрис,0
22,клематис,0
23,планировка участка,0
24,александр харламов,0
25,кованная прихожая,1
26,цвет волос,0
27,даша жукова,1
28,лебеди из шин,0
29,дача своими руками,0
30,свадебные причёски,1
31,портрет пушкина,0
32,букеты цветов,0
33,настя шевченко,0
34,кошки,0
35,кабаева родила второго,1
36,лебеди из покрышек,0
37,колоновидные плодовые деревья,0
38,ls island,0
39,септик своими руками,0
40,идеи для дачи своими руками,1
41,валерий юрин,0
42,свадьба ксении собчак,0
43,мебель для балкона,1
44,наличники на окна,0
45,дети голыши,0
46,дизайн кухни 6 кв м,0
47,календарь рыболова,0
48,отмечалки для друзей,0
49,дизайн зала,0
50,марта соболевская дом 2,0
51,ирина андреева,1
52,пион древовидный,0
53,сальвадор дали картины,0
54,позвоночник строение,0
55,колорирование,0
56,звезды без макияжа,0
57,тигры,0
58,миндалины,0
59,екатерина комякова,0
60,кофейное дерево своими руками,0
61,свадебный букет,0
62,рисунки карандашом для начинающих,0
63,сестры олсен,0
64,путин и кабаева свадьба,0
65,поделки из дерева своими руками,1
66,ваз 2114 тюнинг,0
67,молдинги в интерьере,0
68,алена ланская,1
69,картины знаменитых художников,0
70,бирючина,0
71,флаг сша,0
72,логотипы ссср,0
73,бигль,1
74,сумки своими руками,0
75,ветрогенератор своими руками,0
76,платья в греческом стиле,0
77,британская короткошерстная,0
78,маленькие девочки в купальниках,0
79,нина добрев,0
80,македония на карте,0
81,альпийская горка,0
82,французский бульдог,0
83,карта абхазии с достопримечательностями,0
84,квадроцикл своими руками,1
85,погоны и звания,0
86,прическа на длинные волосы,0
87,барбекю из кирпича своими руками,0
88,megan fox,0
89,модульные картины,0
90,шпиц померанский,0
91,канадские розы,0
92,пионы,0
93,трициклы,1
94,волжанка растение,1
95,фрезы для ручного фрезера,0
96,дом котедж барановичи,0
97,стиляги одежда,0
98,отделка балкона своими руками,0
99,трава сныть,1
100,герб ссср,0
101,тушь лореаль,0
102,приказ о совмещении должностей,0
103,тату на шее,0
104,сумка из пластиковых бутылок,0
105,экзот,0
106,маршрутный лист бланк,0
107,левченко евгений женился,0
108,американский бульдог,0
109,готический шрифт,1
110,таблица производных,0
111,улыбка,0
112,луаз,0
113,открытки ко дню рождения,1
114,новый уаз патриот 2013,1
115,кейт миддлтон беременна,0
116,фиалка комнатная,0
117,свадебные букеты,0
118,гелендваген,0
119,победительница шоу холостяк на тнт,0
120,закуски для фуршета,0
121,столбчатый фундамент своими руками,1
122,день геолога открытки,0
123,гта кавказ,0
124,рыжие,0
125,кружева,0
126,чихуахуа уход особенности,0
127,нарощенные ресницы,0
128,можайское водохранилище,1
129,мозг человека,0
130,красивый макияж,0
131,белый квадрат,0
132,пуфики и банкетки,0
133,упражнения с гирями,0
134,карта азовского моря,1
135,отделка фасадов загородных домов,0
136,костюм инопланетянина,0
137,джозеф гордон левитт,0
138,прудик на даче своими руками,0
139,пейзаж,0
140,вернуться в старый дизайн рамблера,1
141,зайка,0
142,цветы из пластиковых бутылок мастер класс,0
143,москвич 2141,1
144,бульмастиф,0
145,туалет на даче,0
146,хойя,0
147,паховая грыжа у мужчин,1
148,открытка с днем победы,1
149,подушки своими руками,0
150,алёна ланская,0
151,обои свадьба,0
152,венцеслав,0
153,зил 130,0
154,древовидные пионы,0
155,акупунктурные точки,0
156,донателла версаче,0
157,татьяна федоровская,0
158,дефектная ведомость образец,0
159,джинсовые шорты,0
160,дочь путина вышла замуж,0
161,ограждения для грядок,0
162,кухни в стиле прованс,0
163,олимпийские объекты сочи 2014,0
164,опоры для вьющихся растений,0
165,грузовой скутер,0
166,тибетский спаниель,0
167,жанна фриске,0
168,анна горшкова,0
169,мишень для пневматики,0
170,цветы из бумаги поделки,0
171,плющ,1
172,импала,0
173,логотипы строительных фирм,0
174,картины акварель,1
175,обои для рабочего стола цветы,0
176,палитра цветов,0
177,комплекты на выписку для новорожденных,0
178,йорк,1
179,детский нудизм,1
180,эскизы,0
181,жигули,0
182,салфетки крючком со схемами,1
183,зил 131,0
184,приколы на свадьбах,1
185,украшение тортов в домашних условиях,0
186,прически для длинных волос на выпускной,0
187,окопник,1
188,герань королевская,0
189,рено сценик 3,0
190,обустройство теплицы,1
191,портрет ленина,0
192,декоративные кустарники,0
193,вязание спицами узоры,0
194,карта средиземного моря,0
195,бигли,0
196,анна герман,0
197,ё мобиль,0
198,юкка комнатное растение,0
199,прицепы для квадроциклов,0
200,панно на стену,0
201,котеджи,0
202,периодическая таблица менделеева,0
203,пинетки спицами для начинающих,0
204,феррари,1
205,вагоны св,0
206,стрижки для мужчин,0
207,яблоня в цвету,0
208,богдана назарова,0
209,василий слонов welcome sochi 2014,1
210,салфетки крючком схемы,0
211,витрины для гостиной,0
212,ламинирование волос,0
213,юбка крючком,0
214,торт,0
215,поделки из ленточек,0
216,экология для детей,0
217,жанна агузарова,1
218,девятка,0
219,манекены винкс,0
220,девочки в трусиках,1
221,хомячок,0
222,потоп в одинцово,0
223,ванька мокрый цветок,0
224,англия,0
225,авария в домодедово,0
226,русский спаниель,0
227,форд транзит 2013,1
228,jade laroche,0
229,карта топки,1
230,вера фон лендорфф,0
231,кухня столовая,0
232,деревянный потолок,1
233,хлорофитум,0
234,тамара золотухина,0
235,мальдивы,0
236,крапивница у детей,1
237,криштиану роналду,0
238,подкаминская елена,0
239,раскраски для мальчиков онлайн,0
240,дизайн гостиной,0
241,фикус бенджамина уход,0
242,михалкова юлия,0
243,яблоня из бисера,0
244,капельный полив своими руками,0
245,карта ярославской области по районам,0
246,браслеты из бисера схемы,0
247,дренаж участка,0
248,белинда наизусть,0
249,tomi da jeri,0
250,богомол,0
251,ниссан мурано 2013,0
252,саманта смит,0
253,холодный фарфор своими руками,1
254,сад в аквариуме,0
255,марта соболевская с мужем,0
256,стрижки каскад,0
257,кухни в хрущевку,0
258,свадебное платье с открытой спиной,1
259,jawa 638,0
260,цвета глаз,1
261,сочи,0
262,samantha fox,0
263,крыша расчет стропильной системы,1
264,плакаты на свадьбу своими руками,1
265,фризская порода лошадей,0
266,басков и волочкова мальдивы,0
267,darksiders 3,0
268,оксана федорова,0
269,в тылу врага 3,0
270,ножки в колготках,0
271,причёски для длинных волос,0
272,фасоны летних платьев,0
273,созополь,1
274,современные автомобили,1
275,альпинарий своими руками,0
276,любовь,1
277,колокольчики цветы,0
278,ява 350 638,0
279,посадка винограда,0
280,образец заполнения анкеты загранпаспорта нового образца,0
281,герб семьи для детского сада,0
282,шумоизоляция автомобиля своими руками,0
283,гвоздика многолетняя,1
284,майкл джексон,0
285,гладиолусы выращивание,0
286,розы из атласных лент,0
287,тре кул,0
288,продажа квартир в нефтекамске,0
289,трава борец,1
290,беседка в саду,1
291,аксессуары для кухни,0
292,владимир голубев бармалей,1
293,табель учета рабочего времени бланк,0
294,уход за виноградом весной,0
295,юлия галкина,0
296,название цветов,0
297,благодарственное письмо учителю,0
298,тарталетки с начинкой,0
299,преобразователь напряжения 12 в 220в схема,1
300,пион,0
301,мишки тедди,0
302,кухонные уголки со спальным местом,0
303,бальные платья для девочек,0
304,коралловые тапочки,0
305,кораллы,0
306,перегородки раздвижные,0
307,греция остров родос,0
308,футболисты,0
309,опель вектра с,0
310,парная в бане,0
311,бани с бассейном проекты,1
312,вахтанг беридзе жена,1
313,баня на даче своими руками,0
314,жираф,0
315,тенелюбивые комнатные растения,0
316,ейск,0
317,юбка солнце,0
318,грибок ногтя,1
319,антон красовский биография,0
320,уход за денежным деревом,0
321,автозагар,0
322,камаз торнадо,1
323,короткое свадебное платье,1
324,датчик уровня воды,0
325,красная линия застройки,0
326,японский клен,0
327,красивые ванные комнаты,0
328,день космонавтики,0
329,поздравление с днем кадровика,1
330,резиновые лодки для рыбалки,1
331,надписи на памятниках,0
332,крыжовник болезни,0
333,раскраска баба яга,1
334,грибок в горле,0
335,убийца карася,0
336,засветы,0
337,дивногорье в воронежской области,0
338,знак бесконечности,0
339,алексей брянцев биография,0
340,кемеровская область карта,0
341,зачатие девочки,1
342,боинг 747 400,0
343,анна невская,0
344,спортивные девушки,0
345,средство от геморроя,0
346,сыпь на половом органе,0
347,в бане,0
348,похищение илоны новоселовой,0
349,пуанты,1
350,домофоны,0
351,ирина муромцева беременна,0
352,руни мара,0
353,шаблоны благодарственных писем,0
354,тюненг ваз 2114,0
355,тиффани томпсон,0
356,пацанские тазы,1
357,раскраска ракета,0
358,самые длинные волосы в мире,0
359,карта калужской области,0
360,коляска zippy,0
361,деревянные дома,0
362,ольга гажиенко родила,0
363,пихта корейская,0
364,нижегородская область карта,0
365,красная книга россии животные,1
366,сатана,1
367,торс,0
368,певица варвара семья,0
369,гапчинская картины,0
370,трафарет цветы,0
371,ноги дискотека авария,0
372,поэт валерий тихонов,0
373,виброхвост на щуку,0
374,сколько промилле в бутылке пива,1
375,skillet,0
376,дуэйн скала джонсон,0
377,снасти для рыбалки,0
378,robot wants kitty,1
379,длинные юбки 2013,0
380,тарасов анатолий владимирович,0
381,пистолет стриж,1
382,комоды,0
383,риз уизерспун,0
384,раздвижные межкомнатные двери,1
385,часы своими руками,0
386,пресвятая троица,0
387,беременная жанна фриске,0
388,карта истринского водохранилища,0
389,комбинезон,0
390,криштиану роналдо,0
391,сашу грей,0
392,taylor swift,1
393,стоунхендж,0
394,лебедев бой,0
395,божья коровка своими руками,0
396,московский международный кинофестиваль,0
397,шали крючком схемы,0
398,лего сити,0
399,ромашка,0
400,достопримечательности калининграда,1
401,садовые бытовки,1
402,фен шуй рабочего стола,0
403,размеры плит перекрытия,1
404,иконы богородицы,0
405,топиарии из салфеток,1
406,вышивка крестом скатерти,0
407,бутерброды на праздничный стол,0
408,стрижки для йоркширских терьеров,0
409,как выглядит лешай,0
410,машинки раскраски,0
411,открытки с детьми,0
412,шаблоны слайдов для презентации,0
413,образцы деловых писем,0
414,бампер на уаз своими руками,0
415,новый опель инсигния 2014,1
416,маркировка патронов,1
417,ажурный топ крючком,1
418,корфу карта,0
419,диван амстердам,0
420,новорожденный,1
421,раскраски лето,0
422,верблюжья лапка девочек,0
423,мебельная фабрика лазурит,0
424,инны жирковой,0
425,колокольчик карпатский,0
426,амигуруми,0
427,стационарный мангал,1
428,чёрное море карта,1
429,битва при буссако,0
430,big ass foto,0
431,убийство в новой водолаге,0
432,город азов на карте,0
433,раскраски на пасху,1
434,дизайн штор на кухню,0
435,пластиковые емкости для септиков,0
436,игорь акинфеев,0
437,кондулайнен,1
438,награды ссср,0
439,гога ашкенази биография,0
440,майкл фелпс,0
441,юлия пересильд,0
442,hover m2,0
443,самодельные ножи,0
444,джек дэниэлс,1
445,топиарий мастер класс,0
446,марокко,0
447,долли партон,0
448,монстер хай,0
449,бородина,0
450,villeroy boch посуда интернет магазин,0
451,греческие боги,1
452,косоплетение,0
453,т 25 видео,0
454,норвежский лесной кот,0
455,шпора пяточная лечение,1
456,продажа катеров б у,0
457,джили эмгранд,1
458,шатер туристический,0
459,схемы ирландского кружева,0
460,виталя джа,0
461,юля савичева,0
462,тачки 2 игра,1
463,доводчики стекол,0
464,певец витас,0
465,платье на выпускной 2013,0
466,интерьер детской комнаты,0
467,мерлин менсон,0
468,проекты беседок,1
469,счетчики на отопление,0
470,аквапарк в казани,0
471,карта севера россии,1
472,аквааэробика отзывы,1
473,браслеты power balance,1
474,венза тойота,1
475,размеры обуви,0
476,артрит стопы,0
477,елена скрынник,0
478,водяные счетчики,0
479,красивые торты,0
480,автобусы,0
481,сергея лисовского,0
482,звезды в купальниках,0
483,серена уильямс,0
484,siberian mouse,0
485,озеро тургояк,1
486,алфавит для детей,0
487,календарь на 2013 год с праздниками,1
488,ибица,0
489,мадара,0
490,борода,0
491,день ветеранов боевых действий,1
492,тайра бэнкс биография,0
493,дмитровское шоссе реконструкция,0
494,каталог эйвон 10 2013,0
495,песец,0
496,азалия,0
497,карта рязанской области,0
498,папилломы на шее,1
499,мопеды,0
500,opel insignia,1
501,кошка,0
502,плавки мужские,0
503,остров закинф греция,0
504,бен барнс,0
505,сари,0
506,богородская трава,0
507,марина малафеева,0
508,дачные дома эконом класса,1
509,кидман николь,0
510,сидячие ванны,0
511,динозавры юрского периода,0
512,толстые женщины,0
513,ходовые огни своими руками,0
514,бурда выкройки,0
515,розы плетистые,0
516,аквапарк в одессе 7 км,0
517,томас кинкейд картины,0
518,что привезти из киева,0
519,фоны для аск,0
520,илья муромец мультфильм,0
521,тату бесконечность,1
522,мультяшные рисунки,0
523,гапчинская,1
524,греческий орнамент,0
525,покров на нерли,0
526,зелень на подоконнике,0
527,швейцарский шоколад,1
528,раскраска самолет,0
529,виталий бианки рассказы,1
530,прудики на даче,0
531,арена химки план,0
532,газ 66 дизель,0
533,объемная коса,1
534,девушки фэнтези,0
535,королевские пингвины,0
536,новый тагаз,0
537,обои лето на рабочий стол бесплатно,0
538,гнездо для кур несушек,0
539,женя феофилактова до проекта,0
540,утепление фундамента деревянного дома,0
541,смарт мерседес,0
542,обезьяний кулак,0
543,цветы женское счастье,0
544,достопримечательности северной америки,0
545,шевроле камаро,0
546,шрус,0
547,удар,0
548,мода для полных 2013,0
549,гуччи духи,0
550,чулки,0
551,игры монстр хай,1
552,пьяные девушки,0
553,картины из страз,0
554,нудистский пляж,0
555,фитинги для полипропиленовых труб,1
556,нина шацкая биография,0
557,бочаров ручей,0
558,монстер хай куклы,0
559,день победы рисунки,0
560,пистолет,0
561,коловрат,0
562,правило,0
563,стендовый моделизм,1
564,игра бой с тенью,0
565,мультики и фильмы,0
566,v rod,1
567,melissa clarke,0
568,дизайн окон,0
569,устройство арбалета,0
570,татьяна овсиенко,0
571,тойота марк 2,0
572,боги древних славян,0
573,цыпленок,0
574,турник настенный,0
575,галапагосские острова,0
576,масоны в россии,0
577,побережье черного моря карта,1
578,арматура для сливного бачка,0
579,павел воля и его жена,0
580,карта курильских островов,0
581,инсталляция для унитаза,0
582,шевчук александра,0
583,бородавки на ногах,0
584,докладная записка образец написания,0
585,марк джейкобс,1
586,рисунки карандашом поэтапно,1
587,вертикальная химическая завивка,0
588,финский залив карта,1
589,настенные часы своими руками,0
590,саши зверевой,1
591,замок защелка,1
592,воздушный бой,1
593,крайслер пацифика,0
594,фасоны блузок,0
595,игры трансформеры,1
596,версаль,0
597,краска для волос лореаль,0
598,львов достопримечательности,1
599,человеческая многоножка 3,0
600,брдм 2,0
601,синий,0
602,сколько живут морские свинки,0
603,головной мозг,1
604,поделки к 12 апреля,0
605,шерон стоун основной инстинкт,0
606,беседки для барбекю,0
607,нападение на путина,0
608,прически для девочки,0
609,сувениры из португалии,0
610,причёски с косами,0
611,прицеп дача на колесах,0
612,где жена путина 2013,0
613,усадьба архангельское,0
614,пробковое покрытие для стен,0
615,как вернуться в старый дизайн рамблер,1
616,13 неделя беременности,0
617,образец доверенности,0
618,кар мен,1
619,ан 2,1
620,грядки,1
621,проекты бань из бруса,0
622,ниссан премьера,0
623,а н комаров наводнение,1
624,роспись свадебных бокалов,0
625,конская мазь,0
626,силуэты людей,0
627,еделев дмитрий аркадьевич,0
628,кларк и лана,0
629,навесы на лавочку,1
630,кашпо из пластиковых бутылок,1
631,таблица градусов,0
632,сборочные чертежи,0
633,открытки выпускникам,0
634,рождение иисуса христа,0
635,поделки из пенопласта своими руками,0
636,жена сергея жукова,0
637,высокий лоб,1
638,грузовые мотороллеры,0
